date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-07-03,184.9742,185.1318,180.788,181.1623,13954806,13954806,-3.2111,-1.742,183.0432,"Jul 3, 18",-0.021181353622652943
2018-07-05,182.4822,183.6149,181.5169,182.6201,16604248,16604248,1.4578,0.805,182.6926,"Jul 5, 18",-0.013304870365987972
2018-07-06,182.6398,185.6086,182.4231,185.1515,17485245,17485245,2.5315,1.386,184.5321,"Jul 6, 18",0.0003722662205954805
2018-07-09,186.6586,187.8209,186.4616,187.7224,19756634,19756634,2.5709,1.389,187.3383,"Jul 9, 18",0.014262821032338963
2018-07-10,187.8505,188.4119,187.3285,187.4959,15939149,15939149,-0.226552,-0.121,187.811,"Jul 10, 18",0.013039043108320244
2018-07-11,185.6736,186.9343,184.7969,185.0629,18831470,18831470,-2.433,-1.298,185.5234,"Jul 11, 18",-0.000106438962927905
2018-07-12,186.6882,188.54,186.4715,188.1657,18041131,18041131,3.1028,1.677,187.8001,"Jul 12, 18",0.01665796784786886
2018-07-13,188.2149,188.9635,188.0376,188.4612,12519792,12519792,0.295503,0.157,188.5538,"Jul 13, 18",0.018254552291787435
2018-07-16,188.6483,189.7614,187.5599,188.0475,15043110,15043110,-0.413703,-0.22,188.4183,"Jul 16, 18",0.016019334070301584
2018-07-17,186.9049,188.9931,186.3631,188.5794,15534523,15534523,0.531903,0.283,188.029,"Jul 17, 18",0.018893186069354865
2018-07-18,188.9044,188.9241,187.0822,187.5451,16393381,16393381,-1.0343,-0.548,187.535,"Jul 18, 18",0.013304870365987818
2018-07-19,186.8458,189.6629,186.8458,189.0029,20286752,20286752,1.4578,0.777,188.9411,"Jul 19, 18",0.02118135362265279
2018-07-20,188.9044,189.5447,187.3186,188.5695,20706042,20706042,-0.433402,-0.229,188.6762,"Jul 20, 18",0.01883969643823888
2018-07-23,187.8209,189.0817,186.7177,188.737,15989365,15989365,0.16745,0.089,187.996,"Jul 23, 18",0.019744697772778104
2018-07-24,189.5644,190.7563,189.1704,190.1061,18697898,18697898,1.3692,0.725,189.9372,"Jul 24, 18",0.027141935546615318
2018-07-25,190.1654,191.9284,189.5447,191.8988,16826483,16826483,1.7927,0.943,190.8495,"Jul 25, 18",0.03682788117305452
2018-07-26,191.692,193.0217,190.707,191.298,19075964,19075964,-0.600853,-0.313,191.802,"Jul 26, 18",0.033581762953405606
2018-07-27,192.0663,192.2633,187.2496,188.1164,24023972,24023972,-3.1816,-1.663,189.3245,"Jul 27, 18",0.016391600290897063
2018-07-30,189.0226,189.3181,186.2351,187.0625,21029535,21029535,-1.054,-0.56,187.1358,"Jul 30, 18",0.010697385923906334
2018-07-31,187.4466,189.259,186.501,187.4368,39373038,39373038,0.374301,0.2,187.9164,"Jul 31, 18",0.012719726219536528
2018-08-01,196.1442,198.7348,194.3515,198.4787,67935716,67935716,11.0419,5.891,196.9243,"Aug 1, 18",0.07237903509027856
